Date : 2023-04-24 07:54:42
Directory : c:\Users\finkelsteinc\Code\Github\itdepartment\client
Total : 95 files,  21146 codes, 66 comments, 165 blanks, all 21377 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |         16 |     18,663 |          0 |          3 |     18,666 |
| SCSS           |         16 |      1,287 |         28 |         40 |      1,355 |
| JavaScript JSX |         28 |        768 |         34 |         92 |        894 |
| JavaScript     |         14 |        219 |          4 |         12 |        235 |
| XML            |         11 |         91 |          0 |         10 |        101 |
| HTML           |          1 |         59 |          0 |          3 |         62 |
| Markdown       |          8 |         58 |          0 |          5 |         63 |
| Properties     |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |         95 |     21,146 |         66 |        165 |     21,377 |
| . (Files)                                                                                            |          4 |     18,518 |          0 |          3 |     18,521 |
| public                                                                                               |          4 |         93 |          0 |          5 |         98 |
| src                                                                                                  |         87 |      2,535 |         66 |        157 |      2,758 |
| src (Files)                                                                                          |          3 |        100 |          0 |         11 |        111 |
| src\assets                                                                                           |          7 |         55 |          0 |          6 |         61 |
| src\assets\images                                                                                    |          7 |         55 |          0 |          6 |         61 |
| src\assets\images (Files)                                                                            |          3 |         27 |          0 |          3 |         30 |
| src\assets\images\logos                                                                              |          4 |         28 |          0 |          3 |         31 |
| src\components                                                                                       |         38 |        861 |         34 |         90 |        985 |
| src\components (Files)                                                                               |          1 |          2 |          0 |          0 |          2 |
| src\components\about                                                                                 |          8 |        223 |         34 |         23 |        280 |
| src\components\about (Files)                                                                         |          3 |        102 |          0 |         12 |        114 |
| src\components\about\info                                                                            |          5 |        121 |         34 |         11 |        166 |
| src\components\contact                                                                               |          2 |         73 |          0 |          6 |         79 |
| src\components\contact (Files)                                                                       |          1 |         19 |          0 |          3 |         22 |
| src\components\contact\modules                                                                       |          1 |         54 |          0 |          3 |         57 |
| src\components\global                                                                                |          3 |         84 |          0 |          9 |         93 |
| src\components\home                                                                                  |          1 |         58 |          0 |          5 |         63 |
| src\components\programs                                                                              |         23 |        421 |          0 |         47 |        468 |
| src\components\programs (Files)                                                                      |          1 |         25 |          0 |          3 |         28 |
| src\components\programs\modules                                                                      |          1 |         10 |          0 |          2 |         12 |
| src\components\programs\pages                                                                        |         21 |        386 |          0 |         42 |        428 |
| src\components\programs\pages (Files)                                                                |         10 |        272 |          0 |         40 |        312 |
| src\components\programs\pages\comps                                                                  |          1 |         11 |          0 |          2 |         13 |
| src\components\programs\pages\json                                                                   |         10 |        103 |          0 |          0 |        103 |
| src\data                                                                                             |         17 |        196 |          4 |          5 |        205 |
| src\data (Files)                                                                                     |          1 |         35 |          0 |          0 |         35 |
| src\data\about                                                                                       |          9 |        109 |          3 |          2 |        114 |
| src\data\about\contact                                                                               |          2 |         31 |          0 |          0 |         31 |
| src\data\about\curriculum                                                                            |          3 |         33 |          0 |          0 |         33 |
| src\data\about\nav                                                                                   |          1 |          8 |          0 |          0 |          8 |
| src\data\about\students                                                                              |          1 |         22 |          3 |          2 |         27 |
| src\data\about\uniforms                                                                              |          2 |         15 |          0 |          0 |         15 |
| src\data\components                                                                                  |          1 |         12 |          0 |          2 |         14 |
| src\data\contact                                                                                     |          1 |          6 |          0 |          0 |          6 |
