"filename", "language", "Markdown", "Properties", "YAML", "JavaScript", "JavaScript JSX", "JSON", "CSV", "SCSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\finkelsteinc\Code\Github\itdepartment\.github\workflows\node.js.yml", "YAML", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 7, 34
"c:\Users\finkelsteinc\Code\Github\itdepartment\README.md", "Markdown", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 53
"c:\Users\finkelsteinc\Code\Github\itdepartment\SECURITY.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\.env", "Properties", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\package-lock.json", "JSON", 0, 0, 0, 0, 0, 18786, 0, 0, 0, 0, 0, 1, 18787
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\package.json", "JSON", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 1, 58
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\public\README.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\public\grassotechItLogo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 3, 66
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\App.js", "JavaScript", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 6, 113
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\README.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\assets\images\grassotechItLogo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\assets\images\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\assets\images\logo_thick.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\assets\images\logos\grassotechItLogo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\assets\images\logos\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\assets\images\logos\logo_main.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\assets\images\logos\logo_thick.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\About.jsx", "JavaScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\CarpenterTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 1, 4, 57
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\RussellTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 5, 53
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\info\CarpenterInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\info\Curriculum.jsx", "JavaScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 1, 2, 43
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\info\RussellInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\info\Uniforms.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 2, 32
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\info\Videos.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\contact\Contact.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\contact\modules\ContactInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 3, 57
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\feedback\Feedback.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\Layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 2, 4, 75
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\NoPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\Settings.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\settings\modules\Title.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\settings\pages\CursorColors.jsx", "JavaScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 6, 3, 49
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\home\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 5, 88
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\Programs.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\modules\Card.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Cirs.jsx", "JavaScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Cna.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Cp.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Csa.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Css.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Da.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Isa.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Ncsa.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Sd.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Wd.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\comps\Para.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\cirs.json", "JSON", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\cna.json", "JSON", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\cp.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\csa.json", "JSON", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\css.json", "JSON", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\da.json", "JSON", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\isa.json", "JSON", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\ncsa.json", "JSON", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\sd.json", "JSON", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\wd.json", "JSON", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\README.md", "Markdown", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\contact\data.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\contact\data.json", "JSON", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\curriculum\cards.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\curriculum\data.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\curriculum\title.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\nav\data.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\students\data.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 2, 30
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\uniforms\data.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\uniforms\layout.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\components\Student.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\contact\data.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\global\data.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\header\data.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\header\data.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\home\data.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\home\head\data.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\programs\csv\15-1241.csv", "CSV", 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 1, 194
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\programs\data.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 1, 15
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\index.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\about.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 13, 1, 357
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\media.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 6, 0, 86
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\teacherinfo.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 44
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\uniforms.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 51
