"filename", "language", "Markdown", "Properties", "YAML", "JSON", "HTML", "XML", "comment", "blank", "total"
"c:\Users\finkelsteinc\Code\Github\itdepartment\.github\workflows\node.js.yml", "YAML", 0, 0, -24, 0, 0, 0, -3, -7, -34
"c:\Users\finkelsteinc\Code\Github\itdepartment\README.md", "Markdown", -50, 0, 0, 0, 0, 0, 0, -3, -53
"c:\Users\finkelsteinc\Code\Github\itdepartment\SECURITY.md", "Markdown", -12, 0, 0, 0, 0, 0, 0, -7, -19
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\.env", "Properties", 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\README.md", "Markdown", -3, 0, 0, 0, 0, 0, 0, -1, -4
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\package-lock.json", "JSON", 0, 0, 0, -18786, 0, 0, 0, -1, -18787
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\package.json", "JSON", 0, 0, 0, -57, 0, 0, 0, -1, -58
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\public\README.md", "Markdown", -5, 0, 0, 0, 0, 0, 0, 0, -5
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\public\grassotechItLogo.svg", "XML", 0, 0, 0, 0, 0, -9, 0, -1, -10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\public\index.html", "HTML", 0, 0, 0, 0, -63, 0, 0, -3, -66
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\public\manifest.json", "JSON", 0, 0, 0, -20, 0, 0, 0, -1, -21
"Total", "-", -70, -1, -24, -18863, -63, -9, -3, -25, -19058
