"filename", "language", "Properties", "Markdown", "JSON", "HTML", "XML", "SCSS", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\.env", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\package-lock.json", "JSON", 0, 0, 17620, 0, 0, 0, 0, 0, 0, 1, 17621
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\package.json", "JSON", 0, 0, 49, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\public\README.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\public\grassotechItLogo.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\public\index.html", "HTML", 0, 0, 0, 58, 0, 0, 0, 0, 0, 3, 61
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\public\manifest.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\App.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -4, -19, 0, -23
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\About.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\CarpenterTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\info\Curriculum.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\info\Uniforms.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -3
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\contact\Contact.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\contact\modules\ContactInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 2, 1, 7
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\feedback\Feedback.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 7, 1, 14
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\Layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 1, 6, 49
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\Settings.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -3
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\settings\pages\CursorColors.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, -6
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\settings\pages\KeybindNavigation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -25, 0, 0, -2, -27
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\home\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 16
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\jobs\pages\Cp.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, -2
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\students\data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, -2
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\jobs\data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\about.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, -13
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\media.scss", "SCSS", 0, 0, 0, 0, 0, -6, 0, 0, -6, 0, -12
