"filename", "language", "Markdown", "SCSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\App.js", "JavaScript", 0, 0, 3, 0, 0, 0, 3
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\README.md", "Markdown", -1, 0, 0, 0, 0, 0, -1
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\assets\README.md", "Markdown", 6, 0, 0, 0, 0, 2, 8
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\assets\images\grassotechItLogo.svg", "XML", 0, 0, 0, -9, 0, -1, -10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\assets\images\logo.svg", "XML", 0, 0, 0, -9, 0, -1, -10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\assets\images\logo_thick.svg", "XML", 0, 0, 0, -9, 0, -1, -10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\README.md", "Markdown", 1, 0, 0, 0, 0, 1, 2
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\README.md", "Markdown", 1, 0, 0, 0, 0, 1, 2
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\README.md", "Markdown", 1, 0, 0, 0, 0, 1, 2
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\feedback\feedback.scss", "SCSS", 0, 8, 0, 0, 0, 0, 8
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\dark.scss", "SCSS", 0, 6, 0, 0, 0, 0, 6
"Total", "-", 8, 14, 3, -27, 0, 2, 0
